candidate_id,district,lat,lon,original_lat,original_lon,priority_level,priority_score,gnn_probability,reward_signal,score_drop_penalty,low_impact_penalty,water_penalty,remote_penalty,is_water_cell,is_remote_cell,topo_nearest_m,effective_walk_dist_m,nearest_stop_dist_m,cell_population,terrain_penalty,nearest_ramp_dist_m,road_node,road_connector_m
CAND_0037,Kwai Tsing,22.3343924,114.1079951,22.334480000000045,114.10843000000015,Medium Priority,0.04769746774520639,0.6880654096603394,0.31642323018583923,0.0,0.17002309982407057,0.0,0.0,0,0,86.55832089661466,2836.029692535286,1805.4922693412632,119.19133892162324,1.5707791945129823,1985.0412545469476,598457987,45.7791677427205
CAND_0038,Sham Shui Po,22.3220851,114.1309564,22.32175000000001,114.13133,Medium Priority,0.037163324681456694,0.587289035320282,0.3919997994961808,0.0,0.19305444669943458,0.0,0.0,0,0,98.51402497683142,2585.4975688717304,1905.0945591563611,252.55967772572453,1.35714920629277,2389.445452469632,11309125977,53.52787960495563
CAND_0039,Wong Tai Sin,22.3500383,114.1941228,22.349430000000023,114.19246000000008,Medium Priority,0.021950712924619337,0.6356385350227356,0.4137240229272755,0.0,0.24102885455112175,0.0,0.0,0,0,79.47895760006486,2063.637933583041,982.3163163651684,364.6511697483006,2.100787596829349,982.3163163651684,2092336418,183.8969092271747
CAND_0040,Central & Western,22.2735129,114.152083,22.274080000000023,114.1498700000002,Low Priority,0.021913904375489845,0.6719773411750793,0.2856210943871901,0.0,0.1700176711916717,0.0,0.0,0,0,88.58491793938812,2836.088744522599,1180.0102422480386,81.33373241115288,2.4034441761450847,1447.7926662136206,1685959569,236.28296522761102
CAND_0041,Sha Tin,22.425851,114.2437279,22.424170000000096,114.24331000000048,Low Priority,0.021516203939357936,0.6254899501800537,0.3051920338681145,0.0,0.16937897161010843,0.0,0.0,0,0,103.64889761138373,2843.036439045981,1331.4018102090204,98.8452240635515,2.135370717724685,1153.4290089480323,262134352,191.79069487470835
CAND_0042,Central & Western,22.2730593,114.1634487,22.272080000000024,114.16287000000024,Low Priority,0.02151609571288568,0.6971637606620789,0.280014289652404,0.0,0.17370041666406558,0.0,0.0,0,0,24.958427283093997,2796.02829781472,1165.922313160081,81.80360838001324,2.398125729523477,1357.6125181741927,2251798415,124.11139038382416
CAND_0043,Kwai Tsing,22.3323091,114.1117414,22.332480000000043,114.11043000000018,Low Priority,0.01393137677314793,0.6132021546363831,0.3083478990680178,0.0,0.17514883251511718,0.0,0.0,0,0,97.03214159228234,2780.272610530097,1815.4947286398367,120.86845358645468,1.531413210223457,2028.1303304113887,1296357169,136.21578966302496
CAND_0044,Sha Tin,22.4053403,114.2038043,22.40417000000007,114.2023100000003,Low Priority,0.005845404465785353,0.6193689703941345,0.2910618748567391,0.0,0.17442990865418997,0.0,0.0,0,0,92.37937437627663,2788.092974775627,1544.8462709277012,102.17542443367849,1.8047704986861504,2628.413638629097,1699191397,201.32576206701006
CAND_0045,Kwai Tsing,22.348124,114.0874695,22.348480000000063,114.08543000000006,Low Priority,-0.0005789465688321449,0.6870575547218323,0.27839751954881786,0.0,0.19185475264822116,0.0,0.0,0,0,82.9003959651974,2598.547691386212,1769.615223817039,125.01009299353184,1.4684252578824313,3179.8391218277434,1705336794,213.45109289751505
CAND_0046,Kwai Tsing,22.350575,114.1306847,22.350480000000065,114.12943000000028,Low Priority,-0.008513099491900544,0.6157112717628479,0.2868103991227184,0.0,0.18510611080183123,0.0,0.0,0,0,88.82355030515504,2671.9585771138445,1456.6008860468744,116.93636897869122,1.8343793435176168,1971.9833748844767,1704632390,129.46674791657472
