district,lon,lat,nearest_stop_dist_m,road_nearest_stop_dist_m,effective_walk_dist_m,cell_population,terrain_penalty,nearest_ramp_dist_m,road_nearest_ramp_dist_m,is_remote_cell,distance_mode,remote_policy
Tai Po,114.26794000000075,22.430600000000045,455.3735734255187,455.3735734255187,543.5824110761696,40.652975276489684,1.1937065363435684,1924.8426816945969,1924.8426816945969,False,road_network,exclude_remote
Tai Po,114.26894000000075,22.430600000000045,482.45746557989486,482.45746557989486,592.4746947618568,39.52500010030642,1.2280350850198276,1951.926573848973,1951.926573848973,False,road_network,exclude_remote
Tai Po,114.26994000000076,22.430600000000045,534.5975915673855,534.5975915673855,662.9999749327221,38.27575961421175,1.2401851137953577,2004.0666998364636,2004.0666998364636,False,road_network,exclude_remote
Tai Po,114.27094000000076,22.430600000000045,603.5941642510215,603.5941642510215,754.8544282644214,36.86438798112829,1.2505992817228333,2073.0632725201,2073.0632725201,False,road_network,exclude_remote
Tai Po,114.27194000000077,22.430600000000045,683.1785155433201,683.1785155433201,855.3642001463594,35.57239266370287,1.2520361526095458,2152.6476238123983,2152.6476238123983,False,road_network,exclude_remote
Tai Po,114.27294000000077,22.430600000000045,769.411095805204,769.411095805204,775.1459475147476,38.730632544405644,1.0074535599249994,2238.880204074282,2238.880204074282,False,road_network,exclude_remote
Tai Po,114.27394000000078,22.430600000000045,859.940407756513,859.940407756513,859.940407756513,37.80293999954409,1.0,2329.409516025591,2329.409516025591,False,road_network,exclude_remote
Tai Po,114.27494000000078,22.430600000000045,953.3508474661783,953.3508474661783,953.3508474661783,36.81708582705779,1.0,2422.8199557352564,2422.8199557352564,False,road_network,exclude_remote
Tai Po,114.27594000000079,22.430600000000045,1048.7643347940134,1048.7643347940134,1048.7643347940134,35.9328633085029,1.0,2518.2334430630917,2518.2334430630917,False,road_network,exclude_remote
Tai Po,114.27694000000079,22.430600000000045,1145.6166462730566,1145.6166462730566,1145.6166462730566,35.140172928071436,1.0,2615.085754542135,2615.085754542135,False,road_network,exclude_remote
Tai Po,114.2779400000008,22.430600000000045,1243.5325041962296,1243.5325041962296,1243.5325041962296,34.42830091005927,1.0,2713.0016124653075,2713.0016124653075,False,road_network,exclude_remote
Tai Po,114.2789400000008,22.430600000000045,1342.2542825448302,1342.2542825448302,1342.2542825448302,33.78717850275293,1.0,2811.7233908139083,2811.7233908139083,False,road_network,exclude_remote
Tai Po,114.2799400000008,22.430600000000045,1441.600052566338,1441.600052566338,1441.600052566338,33.20781966104609,1.0,2911.0691608354164,2911.0691608354164,False,road_network,exclude_remote
Tai Po,114.30894000000094,22.430600000000045,1948.8071517359426,1948.8071517359426,2720.0578239085817,24.613006797068124,1.3957552554574888,3561.280815138795,3561.280815138795,False,road_network,exclude_remote
Tai Po,114.30994000000095,22.430600000000045,1846.2687129015087,1846.2687129015087,2371.3654807721755,26.380530856388518,1.2844097201026872,3458.7423763043607,3458.7423763043607,False,road_network,exclude_remote
Tai Po,114.31094000000095,22.430600000000045,1743.770556303255,1743.770556303255,2282.931328234674,26.455581409794167,1.309192496674806,3356.2442197061073,3356.2442197061073,False,road_network,exclude_remote
Tai Po,114.31194000000096,22.430600000000045,1641.3235323148263,1641.3235323148263,2118.782889674811,27.143523164686716,1.290898989723619,3253.7971957176787,3253.7971957176787,False,road_network,exclude_remote
Tai Po,114.31294000000096,22.430600000000045,1538.942763329387,1538.942763329387,1879.6795040787156,28.622719131393723,1.2214096254055415,3151.4164267322394,3151.4164267322394,False,road_network,exclude_remote
Tai Po,114.31394000000097,22.430600000000045,1436.6499695839998,1436.6499695839998,1754.3052298630414,29.167633874843048,1.2211083193570267,3049.123632986852,3049.123632986852,False,road_network,exclude_remote
Tai Po,114.31494000000097,22.430600000000045,1334.4774943640484,1334.4774943640484,1603.330462408501,30.068279086722345,1.2014668431501543,2946.951157766901,2946.951157766901,False,road_network,exclude_remote
Tai Po,114.31594000000098,22.430600000000045,1232.4756707951874,1232.4756707951874,1383.5342675694183,32.05193743308843,1.1225651754056682,2844.9493341980397,2844.9493341980397,False,road_network,exclude_remote
Tai Po,114.31694000000098,22.430600000000045,1130.7272637457927,1130.7272637457927,1412.1751502264299,30.778759719369052,1.2489087293679262,2743.200927148645,2743.200927148645,False,road_network,exclude_remote
Tai Po,114.31794000000099,22.430600000000045,1029.3783436692909,1029.3783436692909,1732.9207686413035,26.983397803049527,1.6834634022551773,2641.8520070721434,2641.8520070721434,False,road_network,exclude_remote
Tai Po,114.31894000000099,22.430600000000045,928.7121508181795,928.7121508181795,1718.9668240636968,26.73718500826211,1.8509145406887555,2541.1858142210317,2541.1858142210317,False,road_network,exclude_remote
Tai Po,114.319940000001,22.430600000000045,829.3548015402012,829.3548015402012,1556.6957577047958,27.659782981026687,1.8769961358080332,2441.8284649430534,2441.8284649430534,False,road_network,exclude_remote
Tai Po,114.320940000001,22.430600000000045,732.9849377057553,732.9849377057553,1241.2641747113296,30.183516473113023,1.6934374921761552,2345.4586011086076,2345.4586011086076,False,road_network,exclude_remote
Tai Po,114.321940000001,22.430600000000045,645.6472613355248,645.6472613355248,1107.5145094688535,31.30375236695057,1.7153553895325966,2258.120924738377,2258.120924738377,False,road_network,exclude_remote
Tai Po,114.32294000000101,22.430600000000045,596.1918930298491,596.1918930298491,899.1567237097784,33.924305753203654,1.5081666393353004,2208.665556432701,2208.665556432701,False,road_network,exclude_remote
Tai Po,114.32394000000102,22.430600000000045,635.5526704126426,635.5526704126426,1060.275401193054,31.83520927265392,1.6682730646142256,2248.026333815495,2248.026333815495,False,road_network,exclude_remote
Tai Po,114.32494000000102,22.430600000000045,394.2638778714247,394.2638778714247,572.8469914069608,38.78719766357031,1.4529532720564746,2006.7375412742767,2006.7375412742767,False,road_network,exclude_remote
Tai Po,114.32594000000103,22.430600000000045,292.1429384242336,292.1429384242336,406.7715615272397,42.467041341194296,1.392371705854991,1904.6166018270858,1904.6166018270858,False,road_network,exclude_remote
Tai Po,114.32694000000103,22.430600000000045,254.09793331031432,254.09793331031432,282.75835799331503,47.849050903028406,1.1127928287712576,1866.5715967131664,1866.5715967131664,False,road_network,exclude_remote
Tai Po,114.32794000000104,22.430600000000045,76.30165805167553,76.30165805167553,83.56702911774474,56.70697442550133,1.0952190457139046,1688.7753214545276,1688.7753214545276,False,road_network,exclude_remote
Tai Po,114.32894000000104,22.430600000000045,145.54876124281074,145.54876124281074,155.9656426889085,53.27698466583103,1.0715697018452797,1758.0224246456628,1758.0224246456628,False,road_network,exclude_remote
Tai Po,114.32994000000105,22.430600000000045,240.15702094997528,240.15702094997528,283.8057384413147,47.192086867858265,1.1817507450695413,1852.6306843528273,1852.6306843528273,False,road_network,exclude_remote
Tai Po,114.33094000000105,22.430600000000045,339.5508819845795,339.5508819845795,400.84794124628127,43.87530198958636,1.1805239288540135,1952.0245453874315,1952.0245453874315,False,road_network,exclude_remote
Tai Po,114.33194000000105,22.430600000000045,440.5027379375095,440.5027379375095,564.7578296514731,39.70108212036935,1.282075639973867,2052.9764013403615,2052.9764013403615,False,road_network,exclude_remote
Tai Po,114.33294000000106,22.430600000000045,542.1429486140044,542.1429486140044,694.1257298910891,37.56172870886319,1.280337098666746,2154.6166120168564,2154.6166120168564,False,road_network,exclude_remote
Tai Po,114.33394000000106,22.430600000000045,539.9263498923278,539.9263498923278,740.1525767892435,36.446033987100485,1.3708398875825283,539.9263498923278,539.9263498923278,False,road_network,exclude_remote
Tai Po,114.33494000000107,22.430600000000045,493.0259445718564,493.0259445718564,799.90131786255,34.852218939404615,1.6224325041498253,493.0259445718564,493.0259445718564,False,road_network,exclude_remote
Tai Po,114.33594000000107,22.430600000000045,464.49588714240673,464.49588714240673,759.9491896276206,35.358148169958284,1.6360730216640924,464.49588714240673,464.49588714240673,False,road_network,exclude_remote
Tai Po,114.33694000000108,22.430600000000045,457.78379696346815,457.78379696346815,583.6535310540314,39.39877249129774,1.2749545416973505,457.78379696346815,457.78379696346815,False,road_network,exclude_remote
Tai Po,114.33794000000108,22.430600000000045,473.8178012611628,473.8178012611628,599.5358705231196,39.17419888399914,1.265329983228432,473.8178012611628,473.8178012611628,False,road_network,exclude_remote
Tai Po,114.33894000000109,22.430600000000045,510.4589515915796,510.4589515915796,582.7489429054426,40.32134332357183,1.1416176385749868,510.4589515915796,510.4589515915796,False,road_network,exclude_remote
Tai Po,114.33994000000109,22.430600000000045,563.7030265712996,563.7030265712996,683.7980862507354,38.12931695621082,1.2130466824169972,563.7030265712996,563.7030265712996,False,road_network,exclude_remote
Tai Po,114.3409400000011,22.430600000000045,629.3501342694512,629.3501342694512,794.706817029962,36.260585900799256,1.2627419519858474,629.3501342694512,629.3501342694512,False,road_network,exclude_remote
Tai Po,114.3419400000011,22.430600000000045,703.9387823358596,703.9387823358596,885.7707103690891,35.17897591127456,1.258306450214125,703.9387823358596,703.9387823358596,False,road_network,exclude_remote
