osm_id,osm_type,lat,lon,ramp,kerb,wheelchair,highway
3049050116,node,22.2812025,114.1901317,,,yes,bus_stop
3063935135,node,22.4479502,114.0247565,,,yes,
3063935423,node,22.42587,114.037863,,,yes,
3063935677,node,22.4292,114.033805,,,yes,
3063936923,node,22.435488,114.028682,,,yes,
3070117379,node,22.3223954,114.2577521,,,yes,
3070117418,node,22.3225171,114.258529,,,yes,
3071501082,node,22.3940595,113.9730261,,,yes,
3081154716,node,22.312912,114.0418383,,flush,,
3081155552,node,22.3127796,114.0420564,,flush,,
3081155573,node,22.3125808,114.0419088,,flush,,
3116476865,node,22.2558011,113.9034585,,,yes,
3116476866,node,22.2567467,113.9023501,,,yes,
3132707093,node,22.487681,113.9162104,,,yes,
3140385694,node,22.3102387,114.0401987,,,yes,
3153751864,node,22.3148968,114.229476,,flush,,crossing
3164954377,node,22.361653,114.1318669,,,yes,
3175200826,node,22.2826472,114.1673316,,,yes,
3198273569,node,22.3202427,114.2282307,,,yes,bus_stop
3198273582,node,22.3170341,114.2323022,,,yes,bus_stop
3198273583,node,22.3170218,114.2323215,,,yes,bus_stop
3198273584,node,22.3230885,114.2305416,,,yes,bus_stop
3198273585,node,22.3230718,114.2307574,,,yes,bus_stop
3198273599,node,22.3159011,114.2339273,,,yes,bus_stop
3230273785,node,22.3169423,114.1611126,,,yes,
3230273810,node,22.3161169,114.1701346,,,yes,bus_stop
3230273811,node,22.3159133,114.1701771,,,yes,bus_stop
3230273812,node,22.3159586,114.1701677,,,yes,bus_stop
3230273813,node,22.3161638,114.1701248,,,yes,bus_stop
3230276785,node,22.3169585,114.1689012,,,yes,
3232940102,node,22.488101,114.242154,,,yes,
3250909227,node,22.401026,114.323368,,,yes,
3267027164,node,22.287483,114.286439,,,yes,
3283372477,node,22.3255301,114.1560838,,,yes,
3324787647,node,22.378237,114.1350017,,,yes,
3389134667,node,22.3370879,114.1762546,,,yes,
3423150499,node,22.3323265,114.1472505,,,yes,bus_stop
3494508394,node,22.3133072,113.92841,,,yes,
3494529993,node,22.3126015,113.9271917,,,yes,
3544908832,node,22.388706,114.264322,,,yes,
3556767469,node,22.3125722,114.2200936,,,yes,
3559324160,node,22.251935,114.1578985,,,yes,bus_stop
3561064094,node,22.336088,114.1484984,,,yes,
3598355940,node,22.3100334,114.2270038,,,yes,
3600382194,node,22.3395658,114.195444,,,yes,
3606396188,node,22.3344531,114.1474481,,,yes,
3606396189,node,22.3347451,114.1487634,,,yes,
3606396190,node,22.3347499,114.1498051,,,yes,
3607107707,node,22.3251375,114.1680012,,,yes,
3612147442,node,22.3196703,114.037395,,,yes,
3637152736,node,22.38304,114.19675,,,yes,
3646949234,node,22.3684913,114.108846,,,yes,steps
3727886746,node,22.3712598,114.1134474,,lowered,,
3763507451,node,22.3658331,114.0111268,,,yes,
3813482267,node,22.4497834,114.1803519,,,yes,
3854020812,node,22.416489,114.021501,,,yes,
3874654157,node,22.4465926,114.1694969,,,yes,
